"행정구역","2020년07월_남_총인구수","2020년07월_남_연령구간인구수","2020년07월_남_0~9세","2020년07월_남_10~19세","2020년07월_남_20~29세","2020년07월_남_30~39세","2020년07월_남_40~49세","2020년07월_남_50~59세","2020년07월_남_60~69세","2020년07월_남_70~79세","2020년07월_남_80~89세","2020년07월_남_90~99세","2020년07월_남_100세 이상","2020년07월_여_총인구수","2020년07월_여_연령구간인구수","2020년07월_여_0~9세","2020년07월_여_10~19세","2020년07월_여_20~29세","2020년07월_여_30~39세","2020년07월_여_40~49세","2020년07월_여_50~59세","2020년07월_여_60~69세","2020년07월_여_70~79세","2020년07월_여_80~89세","2020년07월_여_90~99세","2020년07월_여_100세 이상"
"서울특별시  (1100000000)","4,728,872","4,728,872","330,330","408,779","712,412","747,611","765,473","751,861","576,472","318,867","104,518","10,824","1,725","4,986,557","4,986,557","312,997","388,511","752,645","746,248","779,950","779,697","644,195","380,868","165,958","30,641","4,847"
"서울특별시 종로구 (1111000000)","73,214","73,214","3,973","5,668","11,568","10,037","10,989","12,868","9,721","5,595","2,331","375","89","76,969","76,969","3,852","5,578","11,868","10,088","11,580","12,777","9,887","6,969","3,504","688","178"
"서울특별시 종로구 청운효자동(1111051500)","5,886","5,886","461","638","797","808","981","942","608","416","204","28","3","6,718","6,718","402","565","828","918","1,208","1,062","764","603","305","47","16"
"서울특별시 종로구 사직동(1111053000)","4,278","4,278","286","321","573","624","656","699","550","336","193","35","5","5,243","5,243","300","374","682","800","825","847","637","445","267","51","15"
"서울특별시 종로구 삼청동(1111054000)","1,300","1,300","48","117","186","178","179","210","185","132","52","12","1","1,396","1,396","56","84","154","193","190","216","223","155","101","18","6"
"서울특별시 종로구 부암동(1111055000)","4,762","4,762","296","494","708","564","767","778","611","361","158","22","3","5,283","5,283","282","441","665","649","877","949","677","444","235","56","8"
"서울특별시 종로구 평창동(1111056000)","8,651","8,651","619","853","1,283","1,050","1,225","1,499","1,166","615","291","42","8","9,801","9,801","572","801","1,206","1,192","1,565","1,818","1,283","770","460","118","16"
"서울특별시 종로구 무악동(1111057000)","4,027","4,027","323","478","432","438","743","738","456","262","128","17","12","4,618","4,618","400","542","510","536","806","687","535","389","174","34","5"
"서울특별시 종로구 교남동(1111058000)","4,887","4,887","458","417","600","839","869","766","495","297","127","14","5","5,630","5,630","433","450","682","941","976","838","640","436","191","33","10"
"서울특별시 종로구 가회동(1111060000)","2,010","2,010","107","178","233","276","360","320","271","181","73","7","4","2,330","2,330","106","160","260","304","401","378","319","262","105","29","6"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,329","4,329","104","118","434","527","578","964","879","502","171","40","12","2,892","2,892","91","99","401","397","374","412","504","340","194","52","28"
"서울특별시 종로구 종로5.6가동(1111063000)","2,880","2,880","60","114","570","416","364","556","438","260","84","14","4","2,427","2,427","57","118","538","287","256","418","328","279","115","26","5"
"서울특별시 종로구 이화동(1111064000)","3,665","3,665","135","216","810","601","527","549","445","255","106","18","3","4,107","4,107","127","235","906","666","518","575","484","359","197","30","10"
"서울특별시 종로구 혜화동(1111065000)","8,145","8,145","344","693","2,222","1,125","1,104","1,107","766","502","244","30","8","8,697","8,697","371","669","2,242","1,004","1,190","1,203","813","752","377","62","14"
"서울특별시 종로구 창신제1동(1111067000)","2,810","2,810","77","129","341","302","342","654","586","277","81","20","1","2,371","2,371","70","117","280","222","322","503","413","280","131","25","8"
"서울특별시 종로구 창신제2동(1111068000)","4,303","4,303","141","270","638","542","602","964","657","344","122","21","2","4,057","4,057","105","256","550","364","551","863","673","470","183","31","11"
"서울특별시 종로구 창신제3동(1111069000)","3,415","3,415","216","266","509","474","480","624","485","248","84","20","9","3,566","3,566","187","279","451","504","506","663","501","294","153","26","2"
"서울특별시 종로구 숭인제1동(1111070000)","2,993","2,993","157","180","423","440","500","565","401","225","86","13","3","3,145","3,145","149","201","399","410","450","587","470","313","138","22","6"
"서울특별시 종로구 숭인제2동(1111071000)","4,873","4,873","141","186","809","833","712","933","722","382","127","22","6","4,688","4,688","144","187","1,114","701","565","758","623","378","178","28","12"
"서울특별시 중구 (1114000000)","61,644","61,644","3,591","3,555","8,903","10,181","9,354","10,646","8,573","4,771","1,744","262","64","64,326","64,326","3,488","3,542","9,667","10,142","9,009","10,276","8,648","5,854","2,966","599","135"
"서울특별시 중구 소공동(1114052000)","1,018","1,018","91","31","87","208","239","159","130","52","17","3","1","1,074","1,074","85","81","127","219","217","153","101","52","28","7","4"
"서울특별시 중구 회현동(1114054000)","2,774","2,774","114","91","220","276","382","583","624","298","132","35","19","2,426","2,426","93","120","281","290","301","405","421","286","154","51","24"
"서울특별시 중구 명동(1114055000)","1,265","1,265","53","57","163","198","189","211","226","122","36","7","3","1,711","1,711","38","91","191","199","251","295","301","214","105","20","6"
"서울특별시 중구 필동(1114057000)","2,060","2,060","104","98","361","336","279","342","287","173","62","15","3","1,938","1,938","93","87","346","271","213","268","322","184","114","33","7"
"서울특별시 중구 장충동(1114058000)","2,379","2,379","99","160","657","353","317","308","240","168","67","10","0","2,315","2,315","87","169","573","318","271","291","258","215","108","22","3"
"서울특별시 중구 광희동(1114059000)","2,653","2,653","70","106","371","434","341","498","450","282","78","17","6","2,384","2,384","71","97","403","340","278","375","407","256","128","20","9"
"서울특별시 중구 을지로동(1114060500)","1,111","1,111","27","12","92","171","130","239","278","111","39","8","4","726","726","27","22","111","122","70","103","122","91","39","13","6"
"서울특별시 중구 신당동(1114061500)","3,772","3,772","111","153","611","656","583","735","499","308","98","15","3","3,824","3,824","160","145","709","620","497","653","509","342","145","39","5"
"서울특별시 중구 다산동(1114062500)","7,001","7,001","304","467","1,187","1,202","1,051","1,143","889","558","181","16","3","7,387","7,387","286","397","1,237","1,092","1,048","1,217","1,039","687","312","61","11"
"서울특별시 중구 약수동(1114063500)","8,165","8,165","564","517","1,041","1,158","1,247","1,377","1,219","715","284","39","4","9,167","9,167","609","492","1,028","1,319","1,261","1,525","1,392","927","497","112","5"
"서울특별시 중구 청구동(1114064500)","6,711","6,711","395","472","979","1,124","973","1,167","905","453","215","25","3","7,419","7,419","391","457","1,028","1,107","1,053","1,221","996","718","378","65","5"
"서울특별시 중구 신당제5동(1114065000)","5,181","5,181","297","298","769","904","817","983","635","349","115","14","0","5,467","5,467","318","292","890","879","785","901","666","477","213","33","13"
"서울특별시 중구 동화동(1114066500)","5,183","5,183","420","434","738","627","815","937","701","347","142","18","4","5,579","5,579","354","441","743","725","852","1,022","693","426","271","43","9"
"서울특별시 중구 황학동(1114067000)","6,079","6,079","395","265","889","1,411","915","917","735","419","117","16","0","6,624","6,624","356","273","1,245","1,443","933","884","754","474","220","34","8"
"서울특별시 중구 중림동(1114068000)","6,292","6,292","547","394","738","1,123","1,076","1,047","755","416","161","24","11","6,285","6,285","520","378","755","1,198","979","963","667","505","254","46","20"
"서울특별시 용산구 (1117000000)","110,438","110,438","7,167","8,088","15,842","19,006","17,603","18,155","13,369","7,480","3,120","502","106","118,994","118,994","6,691","7,809","17,420","19,090","18,280","18,513","14,798","9,764","5,276","1,094","259"
"서울특별시 용산구 후암동(1117051000)","8,670","8,670","543","724","1,327","1,463","1,355","1,416","1,031","583","187","36","5","9,140","9,140","489","592","1,264","1,381","1,426","1,511","1,183","773","399","98","24"
"서울특별시 용산구 용산2가동(1117052000)","4,919","4,919","222","300","815","915","745","673","655","421","145","21","7","5,312","5,312","190","291","760","871","706","800","801","510","299","69","15"
"서울특별시 용산구 남영동(1117053000)","4,745","4,745","108","143","457","559","742","1,204","935","415","137","29","16","2,988","2,988","107","118","518","477","386","488","410","289","142","37","16"
"서울특별시 용산구 청파동(1117055500)","9,326","9,326","347","657","1,687","1,692","1,407","1,525","1,074","651","250","26","10","10,622","10,622","374","568","2,534","1,476","1,403","1,563","1,293","901","408","78","24"
"서울특별시 용산구 원효로제1동(1117056000)","7,782","7,782","711","444","1,034","1,784","1,390","1,084","776","379","151","25","4","8,349","8,349","675","418","1,400","1,895","1,271","1,100","853","460","210","53","14"
"서울특별시 용산구 원효로제2동(1117057000)","6,778","6,778","482","523","897","1,082","1,149","1,169","799","469","184","20","4","7,600","7,600","480","778","992","1,035","1,213","1,191","909","585","355","53","9"
"서울특별시 용산구 효창동(1117058000)","4,853","4,853","407","403","736","915","747","749","482","267","124","21","2","5,394","5,394","383","387","865","935","841","815","544","372","205","36","11"
"서울특별시 용산구 용문동(1117059000)","5,887","5,887","411","448","864","1,013","923","983","680","401","147","12","5","6,482","6,482","392","416","986","1,033","959","1,006","839","555","231","56","9"
"서울특별시 용산구 한강로동(1117062500)","8,852","8,852","491","480","1,262","1,760","1,263","1,513","1,141","628","246","53","15","9,495","9,495","451","428","1,546","1,927","1,324","1,513","1,111","718","365","84","28"
"서울특별시 용산구 이촌제1동(1117063000)","13,271","13,271","1,473","1,484","1,482","1,682","2,248","2,182","1,402","765","450","95","8","15,131","15,131","1,363","1,485","1,541","2,096","2,773","2,341","1,540","1,103","728","135","26"
"서울특별시 용산구 이촌제2동(1117064000)","4,117","4,117","300","262","485","769","606","644","588","335","115","11","2","4,636","4,636","269","241","506","757","625","744","728","447","256","50","13"
"서울특별시 용산구 이태원제1동(1117065000)","3,275","3,275","125","156","528","616","439","530","477","241","135","22","6","3,646","3,646","126","146","510","510","468","603","587","392","236","52","16"
"서울특별시 용산구 이태원제2동(1117066000)","4,281","4,281","232","241","694","847","647","583","495","359","157","23","3","5,009","5,009","210","270","697","846","752","708","689","504","263","59","11"
"서울특별시 용산구 한남동(1117068500)","10,239","10,239","658","590","1,412","2,000","1,682","1,577","1,277","714","272","48","9","11,036","11,036","577","572","1,399","2,075","1,754","1,696","1,467","926","433","112","25"
"서울특별시 용산구 서빙고동(1117069000)","6,364","6,364","401","775","903","719","1,193","1,101","692","324","224","29","3","6,916","6,916","392","749","910","801","1,316","1,119","706","486","378","56","3"
"서울특별시 용산구 보광동(1117070000)","7,079","7,079","256","458","1,259","1,190","1,067","1,222","865","528","196","31","7","7,238","7,238","213","350","992","975","1,063","1,315","1,138","743","368","66","15"
"서울특별시 성동구 (1120000000)","145,030","145,030","10,760","10,346","22,544","24,447","22,989","23,832","17,401","9,204","3,123","315","69","151,866","151,866","10,278","10,313","23,053","25,313","22,857","23,933","18,485","11,417","5,209","838","170"
