지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C)
108,서울,1907,,-20.1,19071223,25.4,19071005,,
108,서울,1908,10.4,-15.8,19080207,33.6,19080806,5.8,15.7
108,서울,1909,10.6,-14.6,19091226,35.6,19090808,5.8,16
108,서울,1910,10.3,-19.9,19100131,33.3,19100730,5.7,15.9
108,서울,1911,10.6,-21.5,19110113,34.5,19110812,6,15.9
108,서울,1912,10.1,-18.6,19121224,34,19120805,5.1,15.6
108,서울,1913,10,-19.6,19130209,31.7,19130808,4.9,15.6
108,서울,1914,12,-14,19140108,35.6,19140726,7.7,17
108,서울,1915,10.8,-21.3,19150114,34.8,19150803,6.6,15.8
108,서울,1916,10.9,-19,19161226,33.2,19160730,6.4,16.5
108,서울,1917,9.8,-21.1,19170122,36.7,19170616,4.8,15.5
108,서울,1918,10.5,-21.8,19180103,36.1,19180725,5.6,16.1
108,서울,1919,11.1,-19.3,19191230,37.5,19190801,6,16.8
108,서울,1920,11.4,-22.3,19200104,35.6,19200630,6.3,16.9
108,서울,1921,10.9,-15.3,19210109,36,19210815,6.1,16.4
108,서울,1922,10.8,-21,19220120,36.3,19220816,5.9,16.3
108,서울,1923,10.6,-20.4,19230102,35.9,19230806,5.7,15.9
108,서울,1924,11,-18.7,19240127,37.4,19240809,5.8,16.6
108,서울,1925,10.7,-17.4,19251230,33.7,19250727,5.8,15.9
108,서울,1926,10.5,-18.6,19260103,33,19260815,5.6,15.6
108,서울,1927,11,-23.1,19271231,35,19270728,5.9,16.3
108,서울,1928,11.1,-22.2,19280105,35.2,19280814,5.9,16.6
108,서울,1929,11.4,-17.5,19290107,36.7,19290812,6.2,17.3
108,서울,1930,11.8,-17.4,19300106,37.4,19300811,6.6,17.4
108,서울,1931,10.9,-22.5,19310111,36,19310809,6.3,16.7
108,서울,1932,11.6,-14.1,19320217,37.2,19320802,7.2,17.5
108,서울,1933,10.5,-18.4,19330127,35.9,19330721,6.4,15.5
108,서울,1934,10.1,-18.7,19340112,33.4,19340807,5.8,15.1
