,jur_stn,year,상반기,파출소수,경찰관수,5대범죄발생건,5대범죄검거건,5대범죄검거율,전체인구,전체성비,0대 비율,10대 비율,20대 비율,30대 비율,40대 비율,50대 비율,60대 비율,외국인수,외국인비율,계,초등학교,중학교,고등학교,"대학교(2,3년제)",대학교(4년제 이상),대학원(석박사 과정),받지 않았음(미취학 포함),1인당 담당인구수,기초생활자수,지방세징수액,1인가구비율,절폭신고비율,강살신고비율,교통신고비율,질서신고비율
0,수원남부경찰서,2017,0,9,395,3184,1417,0.44503768844221103,405665,102.4,0.09483597316671542,0.10707512596590292,0.1537474239849597,0.166348944450105,0.17818053633701345,0.1590161348106321,0.14075477651528848,16197,0.03992703338961951,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1027,0.08595269495766211,598246,0.093576221,0.11335463254681599,0.0022715077810744333,0.12661276667265042,0.34102033938324894
1,수원남부경찰서,2017,1,9,395,2967,1426,0.4806201550387597,405665,102.4,0.09483597316671542,0.10707512596590292,0.1537474239849597,0.166348944450105,0.17818053633701345,0.1590161348106321,0.14075477651528848,16197,0.03992703338961951,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1027,0.028378095226356724,598246,0.093576221,0.11077816910506044,0.0023088114666052206,0.12606821637521648,0.34316019071138726
2,수원남부경찰서,2018,0,9,395,3143,1378,0.438434616608336,406281,102.3,0.09102156717477147,0.1032790933696957,0.15468932421977236,0.1631752407816265,0.17421439840898295,0.1637126356716985,0.14986425651211846,17896,0.044048331081197496,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1028,0.09020603966220424,568278,0.09583447,0.1142155737270624,0.002454919552816093,0.13860581762950142,0.3236784938450398
3,수원남부경찰서,2018,1,9,395,2825,1374,0.4863716814159292,406281,102.3,0.09102156717477147,0.1032790933696957,0.15468932421977236,0.1631752407816265,0.17421439840898295,0.1637126356716985,0.14986425651211846,17896,0.044048331081197496,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1028,0.08615957920749433,568278,0.09583447,0.11248649179683662,0.0010806562530700462,0.11867570488260143,0.3493466941742804
4,수원남부경찰서,2019,0,9,395,2589,1725,0.6662804171494786,404995,102.3,0.08729318691738011,0.10032625890339478,0.15487503559711802,0.15834009609987276,0.1716686447415855,0.167189580785293,0.1602495831227685,18728,0.04624254620427413,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1025,0.1037741206681564,509559,0.10010910666666667,0.09919571045576407,0.003025446702712418,0.13999430856560877,0.3094942112121257
5,수원남부경찰서,2019,1,9,395,2847,1380,0.4847207586933615,404995,102.3,0.08729318691738011,0.10032625890339478,0.15487503559711802,0.15834009609987276,0.1716686447415855,0.167189580785293,0.1602495831227685,18728,0.04624254620427413,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1025,0.1007716144643761,509559,0.10010910666666667,0.10473409521891625,0.0028864387722566244,0.13584722012451964,0.3091845810468375
6,수원서부경찰서,2017,0,7,258,1980,883,0.445959595959596,405665,102.4,0.09483597316671542,0.10707512596590292,0.1537474239849597,0.166348944450105,0.17818053633701345,0.1590161348106321,0.14075477651528848,16197,0.03992703338961951,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1572,0.08595269495766211,598246,0.093576221,0.10684962727191305,0.002514048056127649,0.12450326340615447,0.33877138992465916
7,수원서부경찰서,2017,1,7,258,1759,849,0.4826606026151222,405665,102.4,0.09483597316671542,0.10707512596590292,0.1537474239849597,0.166348944450105,0.17818053633701345,0.1590161348106321,0.14075477651528848,16197,0.03992703338961951,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1572,0.028378095226356724,598246,0.093576221,0.10360774101104653,0.002533908271971086,0.12393135947314704,0.34242374842233403
8,수원서부경찰서,2018,0,7,258,1800,880,0.4888888888888889,406281,102.3,0.09102156717477147,0.1032790933696957,0.15468932421977236,0.1631752407816265,0.17421439840898295,0.1637126356716985,0.14986425651211846,17896,0.044048331081197496,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1574,0.09020603966220424,568278,0.09583447,0.11866723851391198,0.0031094193963437516,0.12515413070283601,0.33195732589931914
9,수원서부경찰서,2018,1,7,258,1849,810,0.43807463493780413,406281,102.3,0.09102156717477147,0.1032790933696957,0.15468932421977236,0.1631752407816265,0.17421439840898295,0.1637126356716985,0.14986425651211846,17896,0.044048331081197496,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1574,0.08615957920749433,568278,0.09583447,0.09908883826879271,0.00270501138952164,0.12015945330296128,0.3512243735763098
10,수원서부경찰서,2019,0,7,258,1522,825,0.5420499342969777,404995,102.3,0.08729318691738011,0.10032625890339478,0.15487503559711802,0.15834009609987276,0.1716686447415855,0.167189580785293,0.1602495831227685,18728,0.04624254620427413,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1569,0.1037741206681564,509559,0.10010910666666667,0.11795956391469647,0.002996198101568598,0.12745172092554827,0.33819271344764207
11,수원서부경찰서,2019,1,7,258,1843,814,0.4416711882799783,404995,102.3,0.08729318691738011,0.10032625890339478,0.15487503559711802,0.15834009609987276,0.1716686447415855,0.167189580785293,0.1602495831227685,18728,0.04624254620427413,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1569,0.1007716144643761,509559,0.10010910666666667,0.1141773119336172,0.002866033409760891,0.12116497434217709,0.3199585107544492
12,수원중부경찰서,2017,0,7,333,2348,1093,0.4655025553662692,405665,102.4,0.09483597316671542,0.10707512596590292,0.1537474239849597,0.166348944450105,0.17818053633701345,0.1590161348106321,0.14075477651528848,16197,0.03992703338961951,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1218,0.08595269495766211,598246,0.093576221,0.10771781659150292,0.0026681215688313387,0.11807851872879382,0.33442581232156954
13,수원중부경찰서,2017,1,7,333,2112,943,0.4464962121212121,405665,102.4,0.09483597316671542,0.10707512596590292,0.1537474239849597,0.166348944450105,0.17818053633701345,0.1590161348106321,0.14075477651528848,16197,0.03992703338961951,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1218,0.028378095226356724,598246,0.093576221,0.10342526694307708,0.0027671243900613263,0.11568254696206282,0.3377410211478491
14,수원중부경찰서,2018,0,7,333,2274,1191,0.5237467018469657,406281,102.3,0.09102156717477147,0.1032790933696957,0.15468932421977236,0.1631752407816265,0.17421439840898295,0.1637126356716985,0.14986425651211846,17896,0.044048331081197496,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1220,0.09020603966220424,568278,0.09583447,0.10696134657527859,0.003170606611647317,0.11262647456520726,0.3415162959854525
15,수원중부경찰서,2018,1,7,333,2163,1129,0.5219602404068423,406281,102.3,0.09102156717477147,0.1032790933696957,0.15468932421977236,0.1631752407816265,0.17421439840898295,0.1637126356716985,0.14986425651211846,17896,0.044048331081197496,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1220,0.08615957920749433,568278,0.09583447,0.10268209308440705,0.002892453326321325,0.09834341309492506,0.3773336839337365
16,수원중부경찰서,2019,0,7,333,1655,1013,0.6120845921450151,404995,102.3,0.08729318691738011,0.10032625890339478,0.15487503559711802,0.15834009609987276,0.1716686447415855,0.167189580785293,0.1602495831227685,18728,0.04624254620427413,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1216,0.1037741206681564,509559,0.10010910666666667,0.09935253862230053,0.0034217104454370363,0.121480965455067,0.33960988403065195
17,수원중부경찰서,2019,1,7,333,2076,1048,0.5048169556840078,404995,102.3,0.08729318691738011,0.10032625890339478,0.15487503559711802,0.15834009609987276,0.1716686447415855,0.167189580785293,0.1602495831227685,18728,0.04624254620427413,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1216,0.1007716144643761,509559,0.10010910666666667,0.10486679632728753,0.003098285765977656,0.11576733456963227,0.3330996426794518
18,마산동부경찰서,2017,0,7,185,2025,415,0.20493827160493827,202864,100.9,0.08137471409417146,0.10252188658411547,0.1222986828614244,0.1335722454452244,0.16663873333859136,0.17781370770565502,0.2157553829166338,2770,0.01365446801798249,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1096,0.1401234324473539,279864,0.0534169526,0.09011426953634327,0.0022711984245233907,0.14204143136788616,0.34791591655994125
19,마산동부경찰서,2017,1,7,185,2025,412,0.2034567901234568,202864,100.9,0.08137471409417146,0.10252188658411547,0.1222986828614244,0.1335722454452244,0.16663873333859136,0.17781370770565502,0.2157553829166338,2770,0.01365446801798249,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1096,0.04664208533796041,279864,0.0534169526,0.08861928829219323,0.0020432521982911567,0.14293872012018483,0.3553872216707532
20,마산동부경찰서,2018,0,7,185,2021,428,0.21177634834240475,197683,100.8,0.07750792936165476,0.10115690271798787,0.120465593905394,0.12802314817156762,0.16378747793184034,0.17985360400236744,0.22916487507777605,2770,0.01401233287637278,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1068,0.15023547801277806,251555,0.054227713399999995,0.09653237897180442,0.0025632345117763697,0.15118247327948928,0.3580790250036272
21,마산동부경찰서,2018,1,7,185,2021,411,0.2033646709549728,197683,100.8,0.07750792936165476,0.10115690271798787,0.120465593905394,0.12802314817156762,0.16378747793184034,0.17985360400236744,0.22916487507777605,2770,0.01401233287637278,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1068,0.14210630150291126,251555,0.054227713399999995,0.09377640101379893,0.0016896648831315122,0.1450295691354548,0.3835539284708533
22,마산동부경찰서,2019,0,7,185,1819,455,0.25013743815283124,192446,100.3,0.07366741839269197,0.097060993733307,0.1180227180611704,0.1215873543747337,0.16038265279610905,0.1825031437390229,0.2467341488001829,2871,0.014918470635918647,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1040,0.1783565259865105,266274,0.0559689138,0.0871453832551703,0.0027677404474513723,0.1358883678019528,0.333743368955178
23,마산동부경찰서,2019,1,7,185,1819,396,0.2177020340846619,192446,100.3,0.07366741839269197,0.097060993733307,0.1180227180611704,0.1215873543747337,0.16038265279610905,0.1825031437390229,0.2467341488001829,2871,0.014918470635918647,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1040,0.17006329048148572,266274,0.0559689138,0.09517443074994777,0.0017129726342176728,0.15019845414664718,0.32592437852517236
