순번,경찰서명,"종합체감안전도_점수   
(전반적안전도*0.3) + (분야별안전도*0.7)","분야별 안전도
(범죄안전도*0.343) + 
(교통사고안전도*0.305)
 + (법질서준수도*0.352)","범죄 안전도
(절도폭력안전도+강도살인안전도)/2","문항1. 절도 폭력안전도
 (문항1 점수 * 10)","문항2. 강도 살인 안전도
(문항2 점수 * 10)","문항3. 교통사고 안전도
(문항3 점수*10)","문항4. 법질서 준수도
(문항 4점수 * 10)","문항5. 전반적 안전도
(문항 5점수 * 10)"
1, 서울중부경찰서 ,73.00135022998732,72.44913437005579,79.41412833736614,78.14714556362118,80.6811111111111,70.62630060220505,67.24166666666665,74.28985390316092
2, 서울종로경찰서 ,74.53293838322818,74.47510452087637,82.52153560622241,81.3775156568893,83.66555555555553,69.40311849598494,71.02916666666667,74.66788406204913
3, 서울남대문경찰서 ,74.17303985781048,73.51253762026106,79.02134566202504,77.83824687960566,80.20444444444442,74.30934226727803,67.45416666666665,75.71421174542581
4, 서울서대문경찰서 ,72.91182401847378,72.27114657905715,78.08989262166574,77.80534079888704,78.37444444444444,69.66616418522119,68.85833333333333,74.40673804377928
5, 서울혜화경찰서 ,72.52978117764921,71.41858981825848,78.70918667387028,78.00059556996278,79.41777777777779,71.07936215012344,64.60833333333333,75.12256101622758
6, 서울용산경찰서 ,74.6530553818718,73.98720760464374,80.03936402075988,78.9831724859642,81.09555555555556,72.9271226629173,69.00833333333333,76.20670019540395
7, 서울성북경찰서 ,74.13436537633517,73.46232792824162,78.5529258635298,77.49251839372626,79.61333333333332,72.22865909415594,69.57083333333334,75.70245275522012
8, 서울동대문경찰서 ,71.9629019542517,71.65273307414002,77.35915849673198,76.44387254901952,78.27444444444444,69.91259576970805,67.6,72.68662934117899
9, 서울마포경찰서 ,73.65499608694766,72.61287133169799,79.37592319147957,78.42406860518133,80.32777777777781,71.14359456946613,67.29583333333333,76.08662051586356
10, 서울영등포경찰서 ,71.71882632910635,70.72234902185765,73.68363191393979,72.26281938343513,75.10444444444445,72.31321292473108,66.45833333333333,74.04394004601997
11, 서울성동경찰서 ,71.02484935773938,71.39737907643566,78.25172482559938,76.70567187342101,79.79777777777777,65.15749987296746,70.12499999999997,70.15561334744808
12, 서울동작경찰서 ,71.22154033585534,70.28344594832078,78.07513325415184,76.91915539719257,79.23111111111109,67.152159263869,65.40416666666665,73.41042724010265
13, 서울광진경찰서 ,70.8576836937786,70.76248581449472,76.73240633828922,76.2292571210229,77.23555555555554,67.90055882118531,67.425,71.07981207877431
14, 서울서부경찰서 ,73.60057198285931,72.45609834147122,76.44441785864882,75.61550238396434,77.27333333333328,73.15211917799346,67.96666666666667,76.27101047943154
15, 서울강북경찰서 ,72.22052918749202,71.74095218661563,75.58061916433238,74.74568277310922,76.41555555555553,72.80305949699328,67.07916666666667,73.33954218953696
16, 서울금천경찰서 ,68.79324872796823,68.62426795937279,73.32566789215689,72.2446691176471,74.40666666666667,69.26064657605346,63.49166666666667,69.1875371880243
17, 서울중랑경찰서 ,69.02460268777932,68.43374550421413,72.89538334367839,72.2541000206901,73.53666666666668,68.99965798032494,63.59583333333333,70.40326944943146
18, 서울강남경찰서 ,72.31767557505687,72.25441080644364,80.87182400185722,80.22587022593667,81.51777777777778,62.443415870404195,72.35833333333333,72.46529336848772
19, 서울관악경찰서 ,68.6005076905343,68.67368152864323,75.35231413398691,74.5335171568627,76.1711111111111,65.98460474541766,64.49583333333334,68.42976873494678
20, 서울강서경찰서 ,71.948973293091,71.4678820190496,77.83949514715736,76.99121251653696,78.68777777777777,68.71344868931573,67.64583333333331,73.07151959918761
21, 서울강동경찰서 ,73.68414631297507,73.44074500817999,78.61882227091792,77.52986676405807,79.70777777777778,70.74214962597318,70.73333333333332,74.25208269083029
22, 서울종암경찰서 ,72.2725408873442,71.89185488189602,77.50788840558889,76.15577681117779,78.85999999999999,69.87054368998592,68.17083333333333,73.16080823338999
23, 서울구로경찰서 ,70.21681992592677,69.74756282899673,73.9229415677256,73.10032757989566,74.74555555555554,69.93484329377107,65.51666666666668,71.31175315209686
24, 서울서초경찰서 ,75.98484229871217,75.27436188585378,82.65102941176471,82.32205882352942,82.98,67.90598512880374,74.47083333333336,77.6426299287151
25, 서울양천경찰서 ,74.03955346140168,73.82029219053939,79.26257549605481,78.19626210322075,80.32888888888886,70.65670643298117,71.25833333333333,74.5511630934137
26, 서울송파경찰서 ,74.61706997191102,73.79137038015429,80.03950422242403,78.30234177818144,81.77666666666663,72.91962983124432,68.45833333333331,76.54370235267672
27, 서울노원경찰서 ,74.0529461337008,73.53718539534265,78.90442129417997,77.9366203661377,79.87222222222223,70.63137341455382,70.825,75.2563878565365
28, 서울방배경찰서 ,74.54128809803834,73.67623123936863,80.0776075788826,79.53299293554302,80.6222222222222,68.7340278900937,71.72083333333332,76.55975410160099
29, 서울은평경찰서 ,72.54354942695213,72.5313741460911,77.83582383018421,76.75609210481286,78.91555555555556,69.45383575629917,70.02916666666667,72.57195841562786
30, 서울도봉경찰서 ,74.98046139910193,74.71633206952448,79.1622918635251,77.59791706038352,80.72666666666669,72.88021626339469,71.975,75.59676316811598
31, 서울수서경찰서 ,75.10981602290957,74.9125946101346,81.03459879179127,80.29919758358254,81.76999999999998,69.27342259415366,73.83333333333333,75.56999931938452
32, 세종경찰서 ,74.18225186296964,73.51217225298336,81.03163622835501,80.38327245671002,81.68,67.69067003275715,71.22916666666669,75.74577095293762
33, 수원중부경찰서 ,71.79215618160873,70.74053876741431,75.07555985272894,74.30889748323568,75.8422222222222,71.11045378555723,66.19583333333333,74.24593014806237
