,jur_stn,year,상반기,파출소수,경찰관수,5대범죄발생건,5대범죄검거건,5대범죄검거율,전체인구,전체성비,0대 비율,10대 비율,20대 비율,30대 비율,40대 비율,50대 비율,60대 비율,외국인수,외국인비율,계,초등학교,중학교,고등학교,"대학교(2,3년제)",대학교(4년제 이상),대학원(석박사 과정),받지 않았음(미취학 포함),1인당 담당인구수,기초생활자수,지방세징수액,1인가구비율,절폭신고비율,강살신고비율,교통신고비율,질서신고비율,교통사고발생건,평균출동시간,tot_f_safety,dept_safety,crime_safety, rob_satety_q1,mur_safety_q2,ta_safety_q3,raw_odder_q4,overall_q5
18,마산동부경찰서,2017,0,7,185,2025.0,415.0,0.20493827160493827,202864.0,100.9,0.08137471409417146,0.10252188658411547,0.1222986828614244,0.1335722454452244,0.16663873333859136,0.17781370770565502,0.2157553829166338,2770.0,0.01365446801798249,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1096.0,0.1401234324473539,279864.0,0.0534169526,0.09011426953634327,0.002271198424523391,0.14204143136788616,0.34791591655994125,216,370,68.2,67.2,72.6,71.7,73.5,64.9,63.6,70.3
19,마산동부경찰서,2017,1,7,185,2025.0,412.0,0.2034567901234568,202864.0,100.9,0.08137471409417146,0.10252188658411547,0.1222986828614244,0.1335722454452244,0.16663873333859136,0.17781370770565502,0.2157553829166338,2770.0,0.01365446801798249,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1096.0,0.04664208533796041,279864.0,0.0534169526,0.08861928829219322,0.0020432521982911567,0.14293872012018485,0.3553872216707532,165,370,69.5,68.8,75.8,74.6,77.0,64.0,65.7,71.2
20,마산동부경찰서,2018,0,7,185,2021.0,428.0,0.21177634834240475,197683.0,100.8,0.07750792936165476,0.10115690271798787,0.120465593905394,0.12802314817156762,0.16378747793184034,0.17985360400236744,0.22916487507777605,2770.0,0.01401233287637278,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1068.0,0.15023547801277806,251555.0,0.0542277134,0.09653237897180443,0.0025632345117763697,0.15118247327948928,0.3580790250036272,186,359,71.2,71.0,74.0,72.4,75.6,67.9,70.7,71.8
21,마산동부경찰서,2018,1,7,185,2021.0,411.0,0.2033646709549728,197683.0,100.8,0.07750792936165476,0.10115690271798787,0.120465593905394,0.12802314817156762,0.16378747793184034,0.17985360400236744,0.22916487507777605,2770.0,0.01401233287637278,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1068.0,0.14210630150291126,251555.0,0.0542277134,0.09377640101379893,0.0016896648831315126,0.1450295691354548,0.3835539284708533,203,359,72.1,71.9,77.5,76.0,79.0,67.5,70.0,72.6
22,마산동부경찰서,2019,0,7,185,1819.0,455.0,0.25013743815283124,192446.0,100.3,0.07366741839269197,0.097060993733307,0.1180227180611704,0.1215873543747337,0.16038265279610905,0.1825031437390229,0.2467341488001829,2871.0,0.014918470635918647,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1040.0,0.1783565259865105,266274.0,0.0559689138,0.0871453832551703,0.002767740447451373,0.1358883678019528,0.333743368955178,243,365,71.9,71.4,75.8,75.0,76.5,69.4,68.9,73.1
23,마산동부경찰서,2019,1,7,185,1819.0,396.0,0.2177020340846619,192446.0,100.3,0.07366741839269197,0.097060993733307,0.1180227180611704,0.1215873543747337,0.16038265279610905,0.1825031437390229,0.2467341488001829,2871.0,0.014918470635918647,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1040.0,0.17006329048148572,266274.0,0.0559689138,0.09517443074994776,0.0017129726342176724,0.15019845414664718,0.3259243785251724,213,365,71.7,71.4,77.2,76.1,78.2,66.4,69.9,72.4
0,마산동부경찰서,2020,0,7,185,1955.0,419.5,0.21522925887721098,197664.33333333334,100.66666666666667,0.0775166872828394,0.10024659434513677,0.1202623316093296,0.1277275826638419,0.16360295468884692,0.18005681848234845,0.23055146893153092,2803.6666666666665,0.014195090510091308,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1068.0,0.13792118562816666,265897.6666666667,0.0581715842,0.07888331279862969,0.0019833518646512607,0.10806262583766565,0.29200348589115604,176,323,,,,,,,,
1,마산동부경찰서,2020,1,7,185,1955.0,419.5,0.21522925887721098,197664.33333333334,100.66666666666667,0.0775166872828394,0.10024659434513677,0.1202623316093296,0.1277275826638419,0.16360295468884692,0.18005681848234845,0.23055146893153092,2803.6666666666665,0.014195090510091308,195344,0.127329224342698,0.1230649520845278,0.35249099025309205,0.14667458432304034,0.19685273159144887,0.023671062331067246,0.029916455074125645,1068.0,0.13792118562816666,265897.6666666667,0.0581715842,0.09042378833996723,0.0019667525169749472,0.10957621166003279,0.2843050027316007,206,323,,,,,,,,
24,마산중부경찰서,2017,0,8,142,1432.0,350.0,0.24441340782122906,178751.0,100.1,0.0784051557753523,0.08931418565490543,0.117554587107205,0.13663140346067995,0.1474005739828029,0.17131652410336165,0.2593048430498291,2583.0,0.014450268809684981,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.2286805058458601,0.026790742066332616,0.04195657361011692,1258.0,0.15902568377239848,279864.0,0.0534169526,0.08651577617320072,0.0020706169297000088,0.12480707918018652,0.35320633094670484,268,370,73.4,72.9,79.2,76.7,81.6,69.6,69.1,74.6
25,마산중부경찰서,2017,1,8,142,1432.0,365.0,0.25488826815642457,178751.0,100.1,0.0784051557753523,0.08931418565490543,0.117554587107205,0.13663140346067995,0.1474005739828029,0.17131652410336165,0.2593048430498291,2583.0,0.014450268809684981,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.2286805058458601,0.026790742066332616,0.04195657361011692,1258.0,0.05293396960017007,279864.0,0.0534169526,0.08492766605036195,0.0017952286414129046,0.1261875952008893,0.3619310436861269,184,370,73.6,73.2,79.5,79.0,79.9,70.8,68.9,74.3
26,마산중부경찰서,2018,0,8,142,1458.0,349.0,0.2393689986282579,178431.0,99.7,0.0773071943776586,0.08596039925797648,0.11727222287606975,0.1325890680431091,0.14422942201747455,0.17048046583833526,0.27210518351631724,2873.0,0.01610146218986611,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.2286805058458601,0.026790742066332616,0.04195657361011692,1256.0,0.1664452925780834,251555.0,0.0542277134,0.0888268744734625,0.002632687447346251,0.1361099410278012,0.3424073294018534,308,359,72.5,72.5,77.2,76.9,77.4,68.5,71.2,72.6
27,마산중부경찰서,2018,1,8,142,1458.0,345.0,0.2366255144032922,178431.0,99.7,0.0773071943776586,0.08596039925797648,0.11727222287606975,0.1325890680431091,0.14422942201747455,0.17048046583833526,0.27210518351631724,2873.0,0.01610146218986611,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.2286805058458601,0.026790742066332616,0.04195657361011692,1256.0,0.1574390100374935,251555.0,0.0542277134,0.08367933567550304,0.0009581603321622484,0.13350367294793994,0.3679335675503034,254,359,72.2,71.9,81.0,79.4,82.5,65.2,68.3,73.1
28,마산중부경찰서,2019,0,8,142,1150.0,304.0,0.2643478260869565,177579.0,99.8,0.0743274824162767,0.08388379256556237,0.11778982875227365,0.1261410414519735,0.14288288592682696,0.16782952939255205,0.2870834952331075,3145.0,0.017710427471716812,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.2286805058458601,0.026790742066332616,0.04195657361011692,1250.0,0.1932886208391758,266274.0,0.0559689138,0.07867757712565839,0.0020221971407072986,0.13558126410835214,0.3445729872084274,325,365,75.4,74.9,80.4,80.8,80.0,70.8,73.2,76.5
29,마산중부경찰서,2019,1,8,142,1150.0,311.0,0.27043478260869563,177579.0,99.8,0.0743274824162767,0.08388379256556237,0.11778982875227365,0.1261410414519735,0.14288288592682696,0.16782952939255205,0.2870834952331075,3145.0,0.017710427471716812,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.2286805058458601,0.026790742066332616,0.04195657361011692,1250.0,0.18430107163572268,266274.0,0.0559689138,0.09004254402498789,0.002261834239862136,0.1266088642360924,0.3426140341429264,286,365,74.2,74.2,80.2,79.8,80.5,69.5,72.4,74.1
2,마산중부경찰서,2020,0,8,142,1346.6666666666667,337.3333333333333,0.25167979961747594,178253.66666666666,99.86666666666666,0.07667994418976253,0.08638612582614809,0.11753887957851612,0.13178717098525417,0.14483762730903482,0.16987550644474966,0.2728311739330846,2867.0,0.0160873861570893,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.2286805058458601,0.026790742066332616,0.04195657361011692,1254.6666666666667,0.1522389414105073,265897.6666666667,0.0581715842,0.08977790638790421,0.005299139115966143,0.0708420748028648,0.2764233523837083,275,323,,,,,,,,
3,마산중부경찰서,2020,1,8,142,1346.6666666666667,337.3333333333333,0.25167979961747594,178253.66666666666,99.86666666666666,0.07667994418976253,0.08638612582614809,0.11753887957851612,0.13178717098525417,0.14483762730903482,0.16987550644474966,0.2728311739330846,2867.0,0.0160873861570893,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.2286805058458601,0.026790742066332616,0.04195657361011692,1254.6666666666667,0.1522389414105073,265897.6666666667,0.0581715842,0.10576530711384878,0.005401939257330509,0.07570487534733693,0.2781610088801663,302,323,,,,,,,,
