,jur_stn,year,상반기,파출소수,경찰관수,5대범죄발생건,5대범죄검거건,5대범죄검거율,전체인구,전체성비,0대 비율,10대 비율,20대 비율,30대 비율,40대 비율,50대 비율,60대 비율,외국인수,외국인비율,계,초등학교,중학교,고등학교,"대학교(2,3년제)",대학교(4년제 이상),대학원(석박사 과정),받지 않았음(미취학 포함),1인당 담당인구수,기초생활자수,지방세징수액,1인가구비율,절폭신고비율,강살신고비율,교통신고비율,질서신고비율,교통사고발생건,평균출동시간,tot_f_safety,dept_safety,crime_safety, rob_satety_q1,mur_safety_q2,ta_safety_q3,raw_odder_q4,overall_q5
0,수원남부경찰서,2017,0,9,395,3184,1417,0.44503768844221103,405665,102.4,0.09483597316671542,0.10707512596590292,0.1537474239849597,0.166348944450105,0.17818053633701345,0.1590161348106321,0.14075477651528848,16197,0.03992703338961951,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1027,0.08595269495766211,598246,0.093576221,0.113354632546816,0.002271507781074433,0.12661276667265042,0.3410203393832489,968,352,73.6,73.1,79.2,78.2,80.2,68.9,70.5,74.7
1,수원남부경찰서,2017,1,9,395,2967,1426,0.4806201550387597,405665,102.4,0.09483597316671542,0.10707512596590292,0.1537474239849597,0.166348944450105,0.17818053633701345,0.1590161348106321,0.14075477651528848,16197,0.03992703338961951,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1027,0.028378095226356724,598246,0.093576221,0.11077816910506044,0.002308811466605221,0.12606821637521648,0.3431601907113873,915,352,71.9,70.9,78.3,78.4,78.2,69.1,64.7,74.1
2,수원남부경찰서,2018,0,9,395,3143,1378,0.438434616608336,406281,102.3,0.09102156717477147,0.1032790933696957,0.15468932421977236,0.1631752407816265,0.17421439840898295,0.1637126356716985,0.14986425651211846,17896,0.044048331081197496,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1028,0.09020603966220424,568278,0.09583447,0.1142155737270624,0.002454919552816093,0.13860581762950142,0.3236784938450398,908,335,74.1,74.0,80.5,80.7,80.2,67.4,73.3,74.4
3,수원남부경찰서,2018,1,9,395,2825,1374,0.4863716814159292,406281,102.3,0.09102156717477147,0.1032790933696957,0.15468932421977236,0.1631752407816265,0.17421439840898295,0.1637126356716985,0.14986425651211846,17896,0.044048331081197496,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1028,0.08615957920749433,568278,0.09583447,0.11248649179683662,0.0010806562530700462,0.11867570488260144,0.3493466941742804,909,335,69.0,68.2,75.5,74.0,76.9,62.4,65.7,71.0
4,수원남부경찰서,2019,0,9,395,2589,1725,0.6662804171494786,404995,102.3,0.08729318691738011,0.10032625890339478,0.15487503559711802,0.15834009609987276,0.1716686447415855,0.167189580785293,0.1602495831227685,18728,0.04624254620427413,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1025,0.1037741206681564,509559,0.10010910666666667,0.09919571045576407,0.003025446702712418,0.13999430856560874,0.3094942112121257,990,332,74.9,74.7,78.8,77.6,79.9,71.2,73.8,75.5
5,수원남부경찰서,2019,1,9,395,2847,1380,0.4847207586933615,404995,102.3,0.08729318691738011,0.10032625890339478,0.15487503559711802,0.15834009609987276,0.1716686447415855,0.167189580785293,0.1602495831227685,18728,0.04624254620427413,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1025,0.1007716144643761,509559,0.10010910666666667,0.10473409521891623,0.002886438772256625,0.13584722012451966,0.3091845810468375,897,332,72.6,72.1,77.9,77.3,78.4,67.4,70.6,73.5
6,수원서부경찰서,2017,0,7,258,1980,883,0.4459595959595961,405665,102.4,0.09483597316671542,0.10707512596590292,0.1537474239849597,0.166348944450105,0.17818053633701345,0.1590161348106321,0.14075477651528848,16197,0.03992703338961951,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1572,0.08595269495766211,598246,0.093576221,0.10684962727191304,0.002514048056127649,0.12450326340615447,0.3387713899246592,655,352,67.2,66.8,70.1,69.8,70.4,65.8,64.1,68.2
7,수원서부경찰서,2017,1,7,258,1759,849,0.4826606026151222,405665,102.4,0.09483597316671542,0.10707512596590292,0.1537474239849597,0.166348944450105,0.17818053633701345,0.1590161348106321,0.14075477651528848,16197,0.03992703338961951,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1572,0.028378095226356724,598246,0.093576221,0.10360774101104653,0.002533908271971086,0.12393135947314705,0.34242374842233403,616,352,68.2,67.9,70.8,70.4,71.2,67.0,65.7,68.8
8,수원서부경찰서,2018,0,7,258,1800,880,0.4888888888888889,406281,102.3,0.09102156717477147,0.1032790933696957,0.15468932421977236,0.1631752407816265,0.17421439840898295,0.1637126356716985,0.14986425651211846,17896,0.044048331081197496,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1574,0.09020603966220424,568278,0.09583447,0.11866723851391198,0.003109419396343752,0.125154130702836,0.33195732589931914,633,335,70.8,70.7,74.8,72.8,76.8,68.3,68.6,71.2
9,수원서부경찰서,2018,1,7,258,1849,810,0.4380746349378041,406281,102.3,0.09102156717477147,0.1032790933696957,0.15468932421977236,0.1631752407816265,0.17421439840898295,0.1637126356716985,0.14986425651211846,17896,0.044048331081197496,348781,0.11076004713559512,0.08635791513872602,0.30959828660391475,0.12839288837408,0.2859444751864351,0.056419357705838336,0.02252129559809737,1574,0.08615957920749433,568278,0.09583447,0.09908883826879272,0.00270501138952164,0.12015945330296128,0.3512243735763098,674,335,70.4,70.2,74.1,73.0,75.1,70.1,66.0,70.9
