,제목,링크
0,"[단독] '시무 7조' 쓴 조은산 ""진보? 보수? 그저 시대의 문제 봤을 뿐""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=469&aid=0000530029
1,"정부 비판 '시무 7조 상소문' 靑 청원, 참여인원 20만 넘어",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=001&aid=0011843971
2,"[단독] 화제의 '시무 7조' 쓴 조은산은 ""평범한 30대 가장""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=469&aid=0000529836
3,"정부 비판 ‘시무 7조 상소문’ 청와대 청원, 답변 기준 20만 넘어",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=056&aid=0010892287
4,"정부, 수도권 2단계 거리두기 1주 연장…음식점·카페 운영제한(종합)",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=001&aid=0011843716
5,"2단계 유지하되 '식당·카페' 시간 제한…사실상 2.5단계, 이유는",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=003&aid=0010045655
6,음식점·카페 영업시간 제한…사실상 2.5단계 격상,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=277&aid=0004744832
7,수도권 2단계 거리두기 1주 연장…음식점·카페 운영 제한,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=055&aid=0000837750
8,초선의원 재산 공개…'900억' 국회 최고 부자 전봉민은 누구,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003030119
9,21대 최고 부자는 전봉민 914억…김은혜 210억·윤미향 6억,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=005&aid=0001356489
10,PK 초선의원 '부자' 수두룩... 100억~900억원 이상 5명,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=047&aid=0002282464
11,"48억이던 '재산 1위' 전봉민, 갑자기 900억대로 뛴 이유",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=008&aid=0004462461
12,"떠나는 김해영 “민주당 지도부, 잘못을 잘못했다고 말하지 못해”",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003030120
13,"소신파 김해영의 마지막 쓴소리 ""민주당 솔직하지 못했다""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003030108
14,김해영 퇴임 쓴소리 “조국 사태로 국민 분열…잘못은 인정해야”,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=081&aid=0003119437
15,"김해영의 마지막 쓴소리…""잘못한 것은 잘못했다고 말해야""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=448&aid=0000305721
16,"이재명 “재난지원금 ‘30만원’은 3, 4차 지급까지 전제한 것”",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003497967
17,"이재명 ""재난지원금 30만원, 100번 줘도 괜찮아""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=011&aid=0003789491
18,"""30만원 재난지원금 100번 해도 문제없어""… 이재명 주장 근거는?",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=417&aid=0000586120
19,"이재명 ""재난지원금 3·4차 지급 준비해야…30만원 100번 줘도 된다""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=008&aid=0004462497
20,"태풍 '바비' 할퀴고 간 北…김정은, 황해남도 피해상황 시찰",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=018&aid=0004723870
21,"김정은, 태풍 ‘바비’ 휩쓴 황남도 시찰…“피해 적어 다행”",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=081&aid=0003119381
